Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
80001,C49E1a3F7f9278E,Morton LLC,https://frank.info/,Iceland,Multi-tiered local system engine,1993,Newspapers / Journalism,9694
80002,478FdDE8C806aeb,Harrington Inc,http://www.woodward.net/,Guatemala,Ameliorated modular installation,2012,Program Development,9832
80003,a83Ab22f9AEdc2f"Farrell, Clarke and Obrien",http://www.levy.com/,Marshall Islands,Focused empowering software,1979,Staffing / Recruiting,5410
80004,BdE1CAE069DCe45,Jimenez Group,http://www.pratt.com/,Niue,Open-architected zero administration middleware,1990,Facilities Services,4461
80005,Fcd74D12cd1F423"Smith, Schneider and Barr",http://www.jimenez-mathis.org/,Zimbabwe,Enterprise-wide maximized website,2006,Human Resources / HR,6547
80006,f0B62B0aF8Eb1E5,Meza Ltd,http://www.rhodes.com/,Monaco,Open-architected mobile success,1982,Retail Industry,1586
80007,02c60ACC898DD69,Joyce Ltd,https://www.ward.com/,Trinidad and Tobago,Pre-emptive attitude-oriented adapter,1987,Hospital / Health Care,6017
80008,cc8ffB224aa02f8,Mercado-Bailey,https://www.long.biz/,Austria,User-centric multi-tasking database,1983,Music,2191
80009,ad9F73CF93DFC74"Lyons, Salazar and Cantrell",http://www.flowers.com/,Turks and Caicos Islands,Implemented client-server superstructure,1985,Furniture,9164
80010,1dC4e676d79BF6A,Rice Inc,http://harper.com/,Switzerland,Cross-group 5thgeneration attitude,2000,Oil / Energy / Solar / Greentech,3624
80011,BdF2d2dfcADEAdf,Johns Group,http://chavez-blake.com/,Nicaragua,Business-focused high-level Graphical User Interface,1972,Transportation,4635
80012,a3433adDEA7add4"Middleton, Brennan and Chang",http://sutton.com/,Isle of Man,Re-contextualized executive functionalities,2020,Design,9103
80013,f8FD9fcB1bE6027,Cuevas-Pitts,http://garrison-hamilton.com/,Serbia,Right-sized bi-directional customer loyalty,1992,Fishery,2952
80014,492cDA3eEf4eeEb"Campbell, Melton and Johnston",http://velasquez-knight.com/,Moldova,Synergistic responsive strategy,2010,Retail Industry,1835
80015,dB7f0e2a3A74737"Hooper, Maynard and Padilla",https://blanchard.com/,Fiji,Multi-layered 24hour application,1997,Business Supplies / Equipment,9933
80016,d72C518487B582d"Sullivan, Hardin and Douglas",https://benjamin.net/,Palestinian Territory,Multi-layered bandwidth-monitored application,1987,Religious Institutions,8289
80017,eDaCf8D33884e0a,Goodwin Group,http://www.mcgee.com/,Samoa,Monitored explicit access,2018,Alternative Dispute Resolution,9795
80018,FBDB2a48CEE976d"Burgess, Mcintyre and Cervantes",https://cowan.net/,Ethiopia,Organic local contingency,2006,Mechanical or Industrial Engineering,4032
80019,1AfB46c4b463D7e"Vazquez, Esparza and Mccormick",https://blevins-newman.com/,Sudan,Upgradable client-driven software,1979,Hospital / Health Care,8562
80020,Fa46bfb08e05bf1,Lynn Group,http://valentine.com/,Congo,Business-focused systematic framework,2001,Marketing / Advertising / Sales,7777
80021,341cBF91395E0f4,Cantrell-Espinoza,https://parsons.net/,Cape Verde,Vision-oriented global info-mediaries,1999,Building Materials,2560
80022,3c1489aCF6C0AeC,Pratt-Flores,https://www.graves.org/,Sweden,Multi-lateral zero administration open architecture,1991,Design,3662
80023,B012DBc5519b5f8,Simmons-Melendez,https://www.roach-vasquez.com/,Uzbekistan,Multi-layered needs-based analyzer,1981,Machinery,69
80024,4a8Eaff408aD9Da"Cordova, Booth and Cross",https://reeves.com/,Mauritania,Enterprise-wide incremental parallelism,1993,Information Services,4938
80025,Eac6DEbd1E9B4b4,Martin-Wolfe,https://www.rivera.info/,Bangladesh,User-friendly asymmetric application,2020,Medical Equipment,2511
80026,e83E6b9299c5F82"Duran, Moon and Daugherty",https://scott.com/,Tanzania,Customer-focused disintermediate Local Area Network,2003,Leisure / Travel,9124
80027,bdfC1EFbDa6e65F,Kane-Hampton,https://www.swanson-reed.org/,Iraq,Customizable cohesive protocol,2007,Cosmetics,1073
