Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
50001,0AB397573D7e8e8,Bond-Decker,http://friedman.com/,Niger,Reverse-engineered explicit Internet solution,1982,Logistics / Procurement,4471
50002,4Ee8c16Bdecfdb7"Tucker, Rocha and Norman",https://moyer.com/,South Africa,Public-key methodical capacity,1993,Consumer Goods,4277
50003,7ae9b5a2eAEE9Ad,Crawford-Bradley,https://curry-compton.com/,Tuvalu,Progressive upward-trending hierarchy,2001,Hospital / Health Care,4322
50004,2adbefEDaB1FE67"Hanna, Lambert and Mcintosh",http://www.murray-finley.com/,United Arab Emirates,Streamlined high-level strategy,1985,Human Resources / HR,5324
50005,6d0Aa10Ca2AEdA2,Singh Ltd,https://www.carr-estes.com/,Iran,Re-contextualized reciprocal policy,1980,Non - Profit / Volunteering,3615
50006,D92AC292FA1d7D1,Johnson-Morris,http://gregory-mcbride.info/,Macao,Team-oriented homogeneous instruction set,1978,Biotechnology / Greentech,213
50007,10eF5de7d7F44Fd"Oneal, Owens and Rubio",http://cooley.com/,Honduras,Multi-lateral 24hour throughput,2011,Photography,2471
50008,1CDDbdB5Daf08Bb,Wong-Moon,https://wall.com/,Bangladesh,Monitored optimal paradigm,1998,Management Consulting,5960
50009,Dfd5D9dDB8efb88,Fischer-Reid,http://hester.com/,Congo,Optimized reciprocal project,1990,Investment Management / Hedge Fund / Private Equity,5739
50010,1D018AbcbDe25fc,Holloway-Ellison,http://www.bender.net/,Madagascar,Focused bi-directional standardization,1975,Health / Fitness,9361
50011,dBaEFCC9da44ff3,Chapman PLC,http://www.mays-hooper.com/,Syrian Arab Republic,Enhanced actuating knowledgebase,1997,Venture Capital / VC,4185
50012,63BFCBFDC2aEADA"Stokes, Friedman and Ochoa",http://www.holland.net/,Thailand,Cloned bottom-line hardware,2013,Individual / Family Services,5539
50013,F64FCB647D5Af9D,Callahan-Stevens,https://www.mcmillan-bradley.com/,Mozambique,Pre-emptive attitude-oriented software,1990,Marketing / Advertising / Sales,2817
50014,F2edd18ebeb330c"Sims, Bell and Clarke",https://moss-key.net/,Mauritania,Intuitive needs-based contingency,1973,Legal Services,8644
