Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
10001,AFADccDFb4bd5E8,Reed Group,http://gill.org/,Western Sahara,Enhanced needs-based interface,1981,Broadcast Media,7582
10002,6ceEFe9DA991D23,Hamilton Group,http://flynn.info/,Sri Lanka,Polarized intermediate orchestration,2013,Staffing / Recruiting,7463
10003,ba3Cf4Dc085Bcaf"Gates, Sloan and Cobb",https://www.conway.com/,United Arab Emirates,Re-contextualized encompassing productivity,2006,Insurance,763
10004,E1DF72BD2bB3c99,Tapia and Sons,http://www.knight-trujillo.biz/,Puerto Rico,Upgradable high-level application,1974,Medical Equipment,9332
10005,F63cfa02B651FcB"Grant, Patel and Blevins",http://weeks.com/,Malaysia,Multi-channeled regional analyzer,1975,Research Industry,1706
10006,CCaf215b79f420D"Weaver, Mora and Gallegos",http://www.phillips.net/,Finland,Virtual leadingedge paradigm,1994,Defense / Space,4374
10007,D8fd2BeE5Fe208F"Bass, Carpenter and Foster",https://www.mcgee.net/,Slovakia (Slovak Republic),Open-source holistic algorithm,1990,Glass / Ceramics / Concrete,8696
10008,cbB2E1CAD0DF5E5"Griffin, Holloway and Zhang",https://www.erickson-burgess.com/,Bermuda,Advanced transitional product,1973,E - Learning,954
10009,96313ba568cda88,Flynn Group,https://www.blackwell.com/,Mauritius,Mandatory tangible migration,2003,Facilities Services,9794
10010,54ceB31FdbbdcA6"Tyler, Miller and Mercer",http://huang-mclean.com/,Papua New Guinea,Cross-platform attitude-oriented encoding,2004,Consumer Goods,6895
10011,8f6c04C4fdEB420,Cuevas-Marshall,https://harrington.info/,Bahrain,Automated logistical toolset,1987,Military Industry,308
10012,7CaeAb5dC1D126E"Hayes, Gill and Harrison",http://www.perry-hardin.com/,Solomon Islands,Profit-focused static superstructure,1990,Transportation,7599
10013,b56F580A7ffb639"Zimmerman, Vargas and Hodge",http://www.meza.com/,United Arab Emirates,Ergonomic context-sensitive archive,1980,Arts / Crafts,4644
10014,D5bEd923BFE9fDc,Little-Gutierrez,http://www.glass.com/,Spain,Progressive content-based core,1973,Arts / Crafts,9532
10015,a37d9c3D8E99bE5,Riggs-Rasmussen,https://www.goodman.com/,Gambia,Face-to-face real-time knowledge user,2014,Import / Export,3656
10016,60D3aFa3babED0e,Preston-Miles,http://nixon.com/,Palestinian Territory,Face-to-face maximized system engine,2014,International Trade / Development,7587
10017,762A0e4A9e1872f,Miller-Moss,http://www.vasquez-shaffer.com/,Lebanon,Integrated motivating conglomeration,2010,Computer / Network Security,4359
