Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
30001,ef3D3aBF843ccB7"Dalton, Carney and Avery",https://blair.info/,Switzerland,Total transitional adapter,1971,Outsourcing / Offshoring,5490
30002,acdD998efEAfd4E"Carter, Sanford and Hammond",https://francis.biz/,Indonesia,Synergized next generation concept,1984,Fine Art,9953
30003,5947AAa306D39EF,Waters-Herring,https://poole.com/,Bolivia,Persevering neutral paradigm,1996,Fishery,4098
30004,E3DF19A4f0FCA77"Livingston, Hodges and Walton",http://www.bishop.com/,Malta,Persistent value-added forecast,1979,Program Development,4305
30005,c1a2f9bFdE206d9,Mccarthy and Sons,https://www.goodman.org/,Netherlands,Virtual high-level structure,1979,Transportation,3897
30006,af063B36ede2EaB,Potter-Shaffer,http://schmidt-reed.com/,United Kingdom,Upgradable static policy,1984,Mechanical or Industrial Engineering,9949
30007,fcc5eCd9506c31B,Macias LLC,https://massey.biz/,Lao People's Democratic Republic,Multi-lateral uniform migration,2017,Commercial Real Estate,984
30008,6782B67Ab1DB79e,Hobbs and Sons,http://www.randolph.info/,Australia,Organized zero tolerance synergy,2015,Individual / Family Services,9377
30009,FAed3fd14Ea0fb7,Macias-Cervantes,http://www.dominguez-kline.com/,Philippines,Innovative bottom-line complexity,2006,Motion Pictures / Film,1110
30010,005C8e17eEc106a"Cannon, Stark and Tanner",http://www.rice.info/,Taiwan,Expanded bottom-line time-frame,1992,Biotechnology / Greentech,6340
30011,4e91279C28BACcF,Patel-Rocha,http://rice.com/,Taiwan,Fundamental regional website,2004,Staffing / Recruiting,8036
30012,eAAdf0EF4aE3dfC"Tapia, Lutz and Oliver",http://shannon-mcdowell.com/,Guinea,Stand-alone holistic encoding,2011,Printing,7042
30013,5C0CBACbdD66E28"David, Rocha and Phelps",https://www.andrade.com/,Turkey,Extended zero tolerance budgetary management,1981,Non - Profit / Volunteering,2409
30014,CdfFDF99F4ebe0d,Khan Ltd,http://www.glass.com/,Myanmar,Upgradable encompassing challenge,2017,Farming,1246
30015,E1Bab3CfAcaF770"Obrien, Hendrix and Brock",https://www.noble.com/,Maldives,Cloned upward-trending solution,2006,Apparel / Fashion,7620
30016,Fb1BC3bcE3196ec,Montgomery PLC,https://doyle-greene.net/,Yemen,Monitored multimedia orchestration,2003,Aviation / Aerospace,7096
30017,9aa96bFf032F54e"Bright, Woods and Singleton",https://www.moody-jimenez.com/,Italy,Right-sized composite hardware,2007,Individual / Family Services,1184
30018,cEdcCcc45960e4D"Stanton, Jefferson and Shaffer",https://brock.com/,Saint Helena,Progressive asynchronous capability,2014,Consumer Electronics,5301
30019,8dFeDbf78AeBc09,Henderson and Sons,https://rasmussen.net/,Singapore,Public-key zero tolerance info-mediaries,2007,Accounting,2029
30020,dbC02A504De7A22,Mack-Spears,https://bass-hardy.com/,Hungary,Inverse impactful capability,1988,Venture Capital / VC,5530
30021,57B02F6f51a645B,Santiago Inc,https://www.whitaker.com/,Turkey,Centralized zero administration array,2006,Marketing / Advertising / Sales,7210
30022,8bCe5A6DD7DbDAb"Avila, Mccarthy and Kerr",https://www.dunn-gaines.org/,Ireland,Organic didactic collaboration,1987,Recreational Facilities / Services,5839
30023,9bFB5539657a3fE"Campos, Norris and Patrick",http://www.spence-wang.net/,Senegal,Customer-focused scalable infrastructure,2007,Real Estate / Mortgage,6924
30024,4e3Cec6ACCa5fa6,Orozco-Hatfield,https://gibbs-campos.info/,Tonga,Ergonomic tangible implementation,2004,Motion Pictures / Film,1062
30025,CC4DAAA971cFb95,Acevedo-Gilmore,http://www.carson.info/,Mali,Future-proofed well-modulated capability,2019,Business Supplies / Equipment,5367
30026,E1075Ff2eEEa88d,Henson-Moon,http://shepherd-price.com/,Albania,Vision-oriented well-modulated policy,2017,Legal Services,8697
30027,48d605216E0CF93,Gallagher-Glenn,https://www.chung.info/,French Guiana,Mandatory foreground parallelism,1992,Apparel / Fashion,9335
30028,86C3CC61eedE4b5"Franklin, Macias and Whitney",http://www.bird-bolton.net/,Trinidad and Tobago,Phased composite pricing structure,2013,Automotive,5741
30029,d1f98bDfbDCaa9A"Mercer, Proctor and Leblanc",https://www.doyle.com/,Rwanda,Secured multi-tasking knowledge user,1984,Farming,8446
30030,8AABcc67c7d1CcE"Strong, Mcdowell and Arellano",http://www.dunlap.com/,Solomon Islands,Cross-group transitional hardware,1989,Food Production,9443
30031,D7bf53ec3ee9CdE,Dudley PLC,http://www.hays.org/,Saint Kitts and Nevis,Persevering human-resource core,1978,Marketing / Advertising / Sales,5708
30032,9Ec5dDbE9Bf6A21,Terry-Bass,https://collins.biz/,Djibouti,Self-enabling incremental core,2004,Staffing / Recruiting,5961
30033,Edd86A82485D0CC,Chang PLC,https://www.mills-buck.com/,Solomon Islands,Reactive explicit paradigm,2016,Plastics,6056
30034,6f5f77Ffc67f4A7,Padilla-Compton,http://lang.com/,Saint Kitts and Nevis,Total full-range definition,2003,Medical Equipment,2408
30035,Fdcf63AE0E4535C"Castro, Boyle and Murillo",http://www.rowe.com/,Slovenia,Multi-lateral disintermediate success,1996,Food / Beverages,6025
30036,a6ffbb5A159b2D4,Allen-Cole,https://www.huffman.com/,Portugal,Re-contextualized coherent utilization,1979,Import / Export,5190
