Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
90001,7aD847aF012FC45,Holloway-Floyd,https://jennings.info/,Mali,Secured cohesive functionalities,2013,Investment Management / Hedge Fund / Private Equity,2344
90002,aBe0e95d006De77,Mcknight Inc,http://www.anthony.org/,Cook Islands,Inverse empowering superstructure,1982,Railroad Manufacture,5681
90003,5C7EbEfCDcd0F8A,Hanson and Sons,http://www.weber.org/,Ukraine,Balanced cohesive service-desk,1990,Other Industry,6194
90004,2BaFfc6f50BbdBC,Small PLC,http://bernard-davies.org/,Macedonia,Multi-tiered dedicated Local Area Network,1986,Law Practice / Law Firms,7203
90005,6a06FBC6d2c002f,Sandoval Group,https://www.pope.com/,Chad,Synchronized stable neural-net,1970,Judiciary,7969
90006,CFf79f20F0DA1a0"Ho, Bird and Vasquez",https://potter.biz/,Estonia,Pre-emptive bifurcated infrastructure,1973,Publishing Industry,4749
90007,1e8ef75Ac955e4d"Berger, Trevino and Good",http://boyer-hall.com/,Tokelau,Synergistic bifurcated synergy,1995,Furniture,8554
90008,aC6d2a6Eeb44cB6"Mcintyre, Kirk and Gates",https://mcneil.net/,Saudi Arabia,Profound holistic strategy,2016,Package / Freight Delivery,237
90009,BdBdBB309c524Bb,Barajas-Houston,https://www.donovan.com/,Uruguay,Enhanced eco-centric portal,1975,Online Publishing,2618
90010,0D0c71aCd4cEC1F"Carey, Villa and Howe",https://www.conley-compton.info/,Djibouti,Distributed discrete project,2002,Recreational Facilities / Services,2049
90011,67aca54dC92F14D,Case PLC,https://livingston-donaldson.com/,Kuwait,Extended asynchronous moratorium,1986,Building Materials,7912
90012,DE3cBBd1e2BC9D0"Kidd, Branch and Turner",http://singh.biz/,Antarctica (the territory South of 60 deg S),Centralized background knowledge user,1992,Wholesale,6870
90013,0EFF6bAA888f98f"Jackson, Sheppard and Hansen",https://www.cox.com/,Lithuania,Managed 4thgeneration middleware,2004,Staffing / Recruiting,8011
90014,cA6BBFf8C95E8f4,Hunter Group,http://robles-barker.info/,Finland,Fully-configurable grid-enabled orchestration,1998,Food Production,5639
90015,99bbf9fe70d7181,Romero-Hart,http://curry-galvan.net/,Macedonia,Public-key bottom-line circuit,2015,Computer Software / Engineering,8703
90016,25198F003b44e30,Cortez PLC,http://lindsey-mayo.org/,Albania,Switchable 6thgeneration paradigm,1977,Animation,9606
90017,d31B3AA6c77EDD2,Hickman LLC,https://www.carpenter.org/,Cameroon,Ergonomic motivating solution,1972,Airlines / Aviation,688
90018,ec5Fd370DE4da9a,Atkinson-Krueger,https://www.duffy-kemp.com/,Estonia,Future-proofed didactic software,1983,Recreational Facilities / Services,8108
90019,68bcCdAcCBae16e,Benson-Gutierrez,https://pope.info/,Cyprus,Focused bi-directional forecast,2022,Consumer Electronics,4727
90020,A5db6aF51a66CDF,Bray-Moran,http://parker.org/,Saint Martin,Up-sized coherent archive,2007,Transportation,2043
90021,98ADCa77eE01cbe,Klein PLC,https://mcgee.com/,Dominican Republic,User-friendly zero-defect array,2020,Sports,702
90022,82Ee7F79C756Afa,Hahn-Rios,https://baldwin.org/,Kazakhstan,User-friendly intangible info-mediaries,1992,Paper / Forest Products,6540
90023,0bbaCCAf225EDAB,Bauer-Dorsey,https://www.bradshaw.biz/,Indonesia,Managed cohesive infrastructure,1972,Other Industry,8612
90024,6D0Ae3dff7aaB19,Cardenas PLC,https://fleming-cooley.com/,Bermuda,Centralized explicit utilization,1993,Aviation / Aerospace,5654
90025,A6dFcb3BdEeB947,Wiley-Moody,http://www.sexton.net/,Poland,Synergized multi-state groupware,1996,Transportation,6883
90026,6F6d3461055a46A,Frost-Collins,http://williams.net/,Belarus,Total discrete open architecture,1976,Broadcast Media,9309
90027,29136E9beBbd13D,Ibarra Inc,https://www.davies.com/,San Marino,Configurable regional groupware,1978,Performing Arts,8068
90028,e7D18EE048dF1B3,Jarvis Ltd,https://www.jensen.com/,French Guiana,Public-key high-level synergy,1971,Tobacco,9353
90029,CeB35ECEc90c937,Marquez Ltd,http://www.barron-tyler.com/,Martinique,Triple-buffered interactive encoding,2007,Religious Institutions,6034
90030,e8907ECC992aCB5,Le PLC,http://www.meza-mitchell.info/,Namibia,Upgradable systemic challenge,1987,Alternative Dispute Resolution,342
90031,bDc7A63EAdD0Fd8"Hammond, Mccann and Parsons",https://roman.com/,Argentina,Integrated homogeneous Graphical User Interface,1990,Accounting,3153
90032,3bFbEA2903aee79,Burch-Mueller,https://hill-lozano.com/,Pitcairn Islands,Function-based heuristic paradigm,2002,Non - Profit / Volunteering,243
90033,DF1Fd8696D5B6bd,Morgan-Morrow,http://www.rhodes-hampton.info/,Iraq,Assimilated real-time frame,2002,Broadcast Media,5392
90034,9C4aB77Fa6af6f6,Leach Group,https://www.glenn.org/,Germany,Expanded bottom-line capability,2003,Wireless,1772
90035,C6cfedF67d3c850"Russell, Garza and Fry",http://www.shepard.com/,Bahrain,Profit-focused contextually-based website,1992,Fishery,5433
90036,FaBCa8a79E3F422"Hurley, Kemp and Novak",https://www.spears-valentine.biz/,Central African Republic,Multi-tiered systematic open architecture,2010,Information Technology / IT,665
90037,2f6b4A43E72FCF5,Cain-Sanchez,https://www.macdonald.com/,Sierra Leone,Future-proofed directional hardware,1997,Medical Equipment,9061
90038,787beBA8ADb780b"Patrick, Freeman and Duarte",http://www.underwood-daniels.org/,New Zealand,Realigned non-volatile model,1970,Information Technology / IT,1844
90039,cF53e53E236aB4E,Herring-Yang,http://www.quinn-caldwell.com/,Congo,Organized composite application,2004,Professional Training,3525
90040,C753b5dce0fBA7B,Adkins Ltd,http://www.avery.info/,Guadeloupe,Down-sized systematic challenge,2011,Sporting Goods,7726
90041,E9d5CC3Ae913AD8"Jenkins, Peck and Shelton",https://www.roberts.com/,Tunisia,Enhanced optimizing firmware,2007,Supermarkets,3727
90042,2adACbCCBcFdC3e"Walton, Hopkins and Tucker",http://rojas.info/,Sri Lanka,Exclusive web-enabled access,2021,Warehousing,7378
90043,0EB2D4FCFCedbEA,Hopkins and Sons,https://page.info/,Uruguay,Multi-channeled intangible initiative,2009,Civic / Social Organization,4976
90044,f8203eac9f25a6A,Dillon PLC,http://www.mckinney.com/,Senegal,Visionary dedicated groupware,1982,Chemicals,7689
90045,Cee3bEed94EbF3d,May-Maldonado,https://www.dominguez.net/,Greece,Polarized full-range function,2011,Apparel / Fashion,7560
90046,2fc6ae7CaACeb52,Gardner Ltd,http://www.burns.info/,Tuvalu,Expanded impactful access,2001,Computer / Network Security,4916
90047,DFbB2Bc4d4Eb0BC,Casey and Sons,https://www.powers.com/,Saint Martin,Diverse analyzing function,1974,Shipbuilding,3202
90048,54FfE1A41C2e2D2"Chung, Decker and Copeland",https://prince.com/,Venezuela,Reverse-engineered multimedia pricing structure,1974,Paper / Forest Products,391
90049,8A6cbcDABFC79f0"Salinas, Huffman and Callahan",http://vargas.org/,Western Sahara,Right-sized upward-trending software,1985,Printing,1511
90050,4eEfaD25206472B"Donaldson, Mcknight and Ellison",http://henson.net/,Anguilla,Reactive coherent application,2015,Renewables / Environment,2226
90051,faf261BE1a23bD9,Brandt-Potter,https://www.rowe-sheppard.biz/,Netherlands Antilles,Customizable actuating infrastructure,2021,Wholesale,1297
90052,25F4c43eE05eBc6,Meadows-Drake,https://blair-chapman.com/,Chile,Realigned impactful success,2021,Human Resources / HR,8788
90053,cAA00bE84f7cBf9"George, Hendrix and Mcclain",http://hardin.com/,Cocos (Keeling) Islands,Intuitive background leverage,2021,Newspapers / Journalism,7596
