Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
60001,949Fc24fF5AaA1E,Melendez-Carlson,http://collins.com/,Nepal,Advanced mobile open system,1997,Medical Practice,9214
60002,2b126AF9F36bceA,Moran-Owens,http://burke.net/,Bouvet Island (Bouvetoya),Extended neutral Graphical User Interface,1985,Package / Freight Delivery,2367
60003,777Ac2d31F12DBc,Lowery PLC,https://www.mcclain.com/,Eritrea,Horizontal 24hour flexibility,1991,Library,8207
60004,C187bdDcA34Cfd6,Burgess-Reyes,https://www.vang.com/,Switzerland,De-engineered asynchronous access,1980,Translation / Localization,8164
60005,E1ba34Dcf79E697,Webb LLC,https://www.conway-greer.com/,Australia,Cross-group directional matrices,2016,Think Tanks,2419
60006,D0a1E0cB9355c35,Clayton Inc,https://golden-goodwin.com/,Botswana,Profound even-keeled capability,1970,Food Production,2100
60007,A15bc0ddcE7BD09"Finley, Dawson and Fitzpatrick",https://www.liu-warner.com/,Finland,Digitized content-based monitoring,1997,Military Industry,8898
60008,a270DEDCd29d932,Cooper-Ford,https://www.mann.com/,Bahrain,Function-based static success,2001,Financial Services,2594
60009,53FcdC0Bde5D718,Johnston Inc,https://fischer.info/,Wallis and Futuna,Compatible incremental model,1970,Non - Profit / Volunteering,2359
60010,eb2FADAD776858C,Sanchez Inc,http://gibbs.org/,Tajikistan,Configurable motivating help-desk,1987,Other Industry,4406
60011,8Ca3A63AC8235c0"Sharp, Mayo and Cantu",http://hampton-hebert.com/,Taiwan,Sharable high-level standardization,2016,Wireless,2928
60012,2C1A4bC7F8e1FEE,Estes-Sheppard,https://www.powers.com/,Serbia,Public-key object-oriented concept,2004,Electrical / Electronic Manufacturing,3395
60013,7d93Cff48aeFb6C,Mccarthy LLC,http://sims.com/,Anguilla,Advanced reciprocal process improvement,1988,Ranching,3763
60014,976Ff80Df7AA54C,Saunders-Bentley,http://www.humphrey.com/,Thailand,Visionary tertiary groupware,1970,Newspapers / Journalism,6164
60015,67e30ce7dfde9f9,Cole PLC,https://www.sexton.com/,Malaysia,Robust transitional Local Area Network,1988,Design,1593
60016,6c10f615daFEbC9,Garcia Group,https://grant.biz/,American Samoa,Business-focused system-worthy database,1980,Architecture / Planning,9663
60017,E9Ce526E84e5E60,Brady-Fowler,http://www.thomas-joseph.info/,Tonga,Optional didactic implementation,1992,Fundraising,7898
60018,c0B8b2F3ab4a48D,Moran LLC,https://www.small-ramos.com/,Colombia,Horizontal non-volatile analyzer,1993,Program Development,3588
60019,e2cAD1C25EFd6f5"Tran, Landry and Alvarez",https://www.yates-solomon.com/,Montenegro,Public-key systematic knowledgebase,1980,Motion Pictures / Film,2647
60020,Dfe0eD36A72e9DC,Holmes-Rowe,https://donovan.com/,Faroe Islands,Re-contextualized eco-centric Internet solution,1984,Supermarkets,8784
60021,6964800cbe4AD7b,Lynch-Bolton,https://www.alvarado.org/,Bulgaria,De-engineered responsive budgetary management,1985,Marketing / Advertising / Sales,1969
60022,282E8de6f471C8b"Archer, Huynh and Farmer",http://www.haynes.com/,Venezuela,Horizontal human-resource protocol,2004,Animation,2977
60023,e92DbcB6E29F7AF"Ellis, Weaver and Santos",https://www.oneill.com/,Cote d'Ivoire,Extended well-modulated interface,1989,Computer Hardware,7241
60024,98BF8Bec49a8Fd1,Castro and Sons,https://www.mosley.com/,Isle of Man,Right-sized intangible migration,1995,Environmental Services,8206
60025,04Ba873ad9fbcD5"Trujillo, Jennings and Gibson",https://bishop.org/,Wallis and Futuna,Digitized zero tolerance data-warehouse,1991,Information Technology / IT,7627
60026,C987D1e537C35bD,Weaver-Shea,https://www.french.com/,Martinique,Balanced 4thgeneration knowledge user,2002,Other Industry,721
60027,Da0FcB3AE3dE565,Dodson-Navarro,http://www.kemp-ashley.com/,Puerto Rico,Proactive bi-directional customer loyalty,2016,Management Consulting,1498
60028,cb1e66cCF479d0f,Gallegos-Sherman,http://www.atkins.net/,Mauritania,Fundamental reciprocal analyzer,1981,Venture Capital / VC,6884
60029,b1A4CAd373b36bb,Hooper Ltd,http://hood.com/,Germany,Implemented methodical monitoring,2002,E - Learning,6158
60030,de0aDD822Fb6B3E,Logan and Sons,http://www.cobb.com/,Latvia,Inverse even-keeled focus group,2020,Utilities,8042
60031,Ab4DeEdAFe9f475"Madden, Cabrera and Robles",https://www.hunt.biz/,Dominica,Organic content-based architecture,1997,Warehousing,4151
60032,3Caa8FFFFCcF5B1,Pham PLC,https://www.chavez-mayo.com/,Uruguay,Innovative asymmetric interface,2004,Facilities Services,6610
60033,fcdCbDd7A06e5Df,Hinton Group,http://barrett.com/,Montenegro,Extended user-facing capability,1989,Architecture / Planning,7614
60034,4afe23403A023B4,Rowe LLC,https://www.everett.com/,Iraq,Implemented user-facing strategy,2007,Consumer Services,4733
60035,98e7ecEb3FF3BCa,Fuller Ltd,https://www.shah-davis.com/,Luxembourg,Sharable incremental leverage,1975,Hospital / Health Care,4590
