Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
40001,46deacB42eAfECC"Stewart, Dennis and Bruce",https://castillo.com/,British Virgin Islands,Cross-group demand-driven implementation,1980,Other Industry,1162
40002,723Ca755Af1Ef6C,Bradford Inc,https://www.bradford.net/,Syrian Arab Republic,Self-enabling systematic encryption,1971,Fundraising,7185
40003,C6aEFCBCbDdaf3c,Nielsen and Sons,http://forbes-larson.com/,Romania,Virtual object-oriented implementation,1994,Retail Industry,1884
40004,bbAE5d2cf4b55bD,King-Walter,https://case.org/,Suriname,Realigned coherent intranet,1986,Public Relations / PR,2386
40005,fE5EA30D6591eE7"Sandoval, Reynolds and Sharp",http://adkins-petty.com/,Liberia,Re-engineered actuating website,2015,Government Administration,6592
40006,e3C082E9DCB6704,Perkins LLC,http://carlson.net/,Cambodia,De-engineered holistic pricing structure,1991,Pharmaceuticals,5669
40007,E7A001d25963E0f"Zimmerman, Wright and Stokes",http://www.petersen.biz/,Ethiopia,Implemented multi-tasking database,1978,Program Development,84
40008,30b574C1B3fF26f"Gould, Fischer and Odom",https://www.valentine-stephenson.org/,Saint Helena,Cross-group radical model,1983,Primary / Secondary Education,512
40009,b74fada6d8a5dFC,Mitchell-Ellis,https://www.solomon.com/,Yemen,Future-proofed user-facing strategy,2001,Fishery,9006
40010,1C3F35FDe353Db8,Andrade-Knox,http://www.harper-paul.com/,Germany,Multi-lateral responsive archive,2005,Law Enforcement,4624
40011,ECEe1DcBBdFDDf2"Buchanan, Carrillo and Villa",https://www.lambert-giles.com/,Peru,Multi-channeled zero administration throughput,1996,Facilities Services,9307
40012,7AEF031cc479243,Mcmillan-Contreras,http://bell.com/,Suriname,Synergistic non-volatile adapter,2022,Dairy,5252
40013,5fB847c39D10D98,Ross-Woods,https://www.blackwell-richards.com/,Sierra Leone,Profound scalable complexity,1970,Gambling / Casinos,9879
40014,Ae72cDAd65dAdAc,Deleon-Hubbard,http://hickman-hopkins.net/,Comoros,Customizable coherent data-warehouse,2006,Online Publishing,1577
40015,71B08FaC4AbD8b4"Pham, Peters and Stephenson",https://ho.com/,Suriname,Assimilated multi-tasking artificial intelligence,1990,Professional Training,4344
40016,6DaEAA1fa7e86Ba"Baker, Marshall and Schultz",https://www.mora-graves.com/,South Africa,Upgradable fresh-thinking superstructure,1973,Religious Institutions,3500
40017,4C6dbF69aCEFCCd"Guerra, Cruz and Phelps",http://parks-martinez.com/,United Arab Emirates,Devolved national throughput,1986,Events Services,4063
40018,52Fa93bEF7E9Cdd,Ray-Hatfield,https://whitehead.info/,Greece,Team-oriented well-modulated forecast,2018,Utilities,1687
40019,1aFecF4fAf7713F"Robertson, Frye and Krause",http://www.blevins-cooke.com/,Russian Federation,Decentralized attitude-oriented forecast,2004,Primary / Secondary Education,5625
40020,E8fF2E7a0BE7b79,Daugherty-Meyers,http://www.thompson.org/,Gambia,Decentralized client-driven orchestration,2015,Consumer Services,9260
40021,5f445F4Deb9da47,Ashley-Rocha,https://www.bowers.com/,Canada,Reduced optimizing system engine,2015,Telecommunications,1453
40022,8eCb3eEb59CeaD4,Mckay-Gilmore,http://www.fitzgerald.com/,Bhutan,Adaptive zero tolerance capability,1978,Printing,1916
40023,2072Ff574Cf319C,Bryan-Huang,https://christensen-kelly.net/,Chile,Upgradable client-server success,1989,Fundraising,6595
40024,81bf0fa843Df1cd,Mcbride-Rosales,http://www.murphy.com/,Mozambique,User-centric responsive capacity,1978,Utilities,3327
40025,dbbC753dC2bEc0C,Berger Inc,http://www.foley.net/,Guam,Focused local Internet solution,2008,Professional Training,6076
40026,FF3b67678453B2a,Merritt and Sons,http://burke-beck.com/,Vanuatu,Realigned methodical implementation,1993,Executive Office,8931
40027,6f7bd1EFd0D1E26,Turner-Wagner,https://sanders.com/,Andorra,Total multimedia synergy,1993,Luxury Goods / Jewelry,3327
40028,aBeCFB2a94af7bD,Burke-Wolfe,https://forbes.biz/,Panama,Open-source eco-centric analyzer,2001,Environmental Services,8527
40029,67b80aDc60a5d81,Reilly PLC,https://martinez.biz/,Korea,Pre-emptive hybrid framework,1991,Market Research,3792
40030,b1eC2e5AF2bd0fE"Higgins, Bauer and Brady",https://www.gross-mclaughlin.com/,Palau,Implemented stable monitoring,2020,Alternative Dispute Resolution,6032
40031,C2f3cF1c77e5EE9"Braun, Logan and Cordova",http://www.ayala-king.biz/,Kuwait,Intuitive incremental matrices,2018,Consumer Services,9595
40032,9ca431A4eaaF280,Palmer-Leach,http://hardin.com/,Sri Lanka,Profit-focused grid-enabled alliance,1989,Logistics / Procurement,8366
40033,44cFbecEcf5D5ed,Pratt Inc,https://www.vaughan.com/,Greece,Organized 3rdgeneration core,2012,Capital Markets / Hedge Fund / Private Equity,6804
40034,55d14964C9a93bB,Bolton-Lin,http://www.harvey.net/,Japan,Proactive 24hour application,1995,Computer Software / Engineering,9362
40035,1FDA4bAFB8ec309,Marsh-Banks,http://www.stark.info/,Tunisia,Multi-channeled global toolset,1989,Alternative Dispute Resolution,6684
40036,4A2fC8f498e0Add,Bowers Group,http://www.green-farley.info/,Panama,Exclusive real-time superstructure,2008,Industrial Automation,2157
40037,C9dE60eFA748C79,Rosales PLC,https://hawkins.com/,Tuvalu,Open-architected grid-enabled application,1983,Logistics / Procurement,4527
40038,Bfbd1fB23a61090,Robbins LLC,https://www.marquez.biz/,Micronesia,Inverse interactive intranet,1971,Law Practice / Law Firms,3404
40039,163FD5cCE6Fc8B0,Sanford-Hull,http://joseph-snyder.com/,Tuvalu,Operative homogeneous data-warehouse,2013,Building Materials,588
40040,AA23C59aE9BED2d,Tran-Austin,http://www.kirk.com/,Jamaica,Organized context-sensitive application,1978,Business Supplies / Equipment,9886
40041,FF82aB7dE1eCDdD"Carney, Rojas and Mccarthy",https://mcguire.net/,Mozambique,Fundamental eco-centric methodology,2009,Banking / Mortgage,7953
40042,F26c09A307Ecc1B,Melton-Mendoza,http://www.noble.com/,Palestinian Territory,Diverse holistic encryption,2021,Motion Pictures / Film,5284
40043,423be4F856b68bD"Mayer, Dean and Newman",http://chapman.info/,Madagascar,Intuitive encompassing array,1998,Design,7510
40044,F606248025E6Cb6"Guerrero, Riggs and Mcclure",http://fry-mckee.biz/,India,Business-focused encompassing help-desk,1990,Marketing / Advertising / Sales,9785
40045,0c18a7FDf3a9c4E,Vaughan Ltd,https://www.bradford-noble.com/,Thailand,Organic analyzing knowledgebase,1987,Individual / Family Services,4550
40046,0D2FEf8dF89D5bF"Daugherty, Shaffer and Alexander",http://www.romero.com/,Iceland,Secured human-resource projection,1987,Staffing / Recruiting,8778
40047,82ADeb9cE55784f,Ho-Simmons,http://www.kent-hoover.info/,Saint Martin,Decentralized foreground circuit,2006,Accounting,303
40048,5Eb9eA3A2fCFB8c,Werner Inc,https://lynch.biz/,Libyan Arab Jamahiriya,Virtual multi-state info-mediaries,1993,Philanthropy,1991
40049,0A796CDAc374261,Garrett and Sons,http://www.ewing.com/,Sao Tome and Principe,Balanced encompassing task-force,1976,International Affairs,2060
40050,539EeB8aadB000d,Merritt Ltd,http://cherry.com/,Philippines,Enhanced reciprocal software,2004,Performing Arts,1823
40051,d78BC3AFa7edBAb"Bolton, Lester and Alexander",https://www.jennings.net/,Armenia,Proactive multi-state capacity,2009,Facilities Services,1661
40052,9cEFbD32D3EDA60,Marshall Ltd,https://www.galloway-bowers.com/,Benin,Versatile national policy,2014,Civil Engineering,9146
40053,6F55CbcA88feDae"Ibarra, Johnston and Cordova",https://www.ashley.com/,Macedonia,Self-enabling full-range data-warehouse,1993,Health / Fitness,3561
40054,d0EcF86FAdbbfbf,Leonard-Gibbs,http://winters.net/,Mongolia,Devolved cohesive circuit,2010,Research Industry,9136
40055,398c73cdDeBe74b,Monroe and Sons,https://harrell.biz/,French Guiana,Business-focused executive firmware,1991,Capital Markets / Hedge Fund / Private Equity,8733
40056,beB56f0678C5c6e"Le, Johns and Webster",https://forbes.info/,Sweden,Polarized national utilization,1990,Mining / Metals,9129
40057,cD22bBaFA7fb83E,Franklin and Sons,https://hendrix.com/,Japan,Optional demand-driven throughput,2020,Fine Art,3658
40058,1eAfAF78a2dB36B,Marsh Inc,https://snow.org/,Latvia,Extended heuristic superstructure,1990,Political Organization,2985
40059,BcfCBF717741FCc"Foster, Yoder and Duncan",http://www.tanner.org/,Saint Vincent and the Grenadines,Assimilated needs-based Local Area Network,1990,Arts / Crafts,5634
40060,dfAe89430ecBA1f,Hardy LLC,https://www.velasquez-daugherty.com/,Andorra,Cloned solution-oriented neural-net,2000,Animation,8478
