Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
20001,60Da222F9D1c301"Bowen, Gaines and Simon",https://www.barber.info/,Estonia,Mandatory actuating help-desk,1998,Translation / Localization,8412
20002,74ee4E23f35d04A"Owen, Yu and Reed",http://mack.com/,Uzbekistan,Automated directional success,2010,Wholesale,560
20003,2dE5BFCDEDcAfe7,Hess-Hartman,http://barnes.org/,Gabon,Grass-roots analyzing Graphic Interface,1979,Furniture,4001
20004,97bC366555deb1d"Hensley, Howe and Robles",http://www.avila.org/,Equatorial Guinea,Organized object-oriented conglomeration,1999,Textiles,5491
20005,222F6BBef0d145b,Cline and Sons,http://www.russell.com/,Cayman Islands,Pre-emptive clear-thinking archive,1998,Aviation / Aerospace,5091
20006,DD03bbeD9BADF93,Archer PLC,http://www.everett.com/,Tonga,Expanded asynchronous task-force,1989,Ranching,6648
20007,8b56BdbA2fdC2DC"Andrews, Bell and Bass",http://downs.biz/,Norfolk Island,Optimized stable hardware,2008,Primary / Secondary Education,5524
20008,bAA9807feD0C7e4,Howard Inc,http://www.sweeney.com/,Libyan Arab Jamahiriya,Profit-focused maximized throughput,2022,Financial Services,2734
20009,E924F0d1C82d0dB,Gregory Inc,http://crane.com/,France,Profit-focused upward-trending moratorium,1970,Nanotechnology,4736
20010,7C37C6644DeFbFb"Curtis, Stark and Walls",https://dougherty.com/,Brunei Darussalam,Configurable needs-based system engine,2003,Market Research,2073
20011,b0F1DcB7cE66BC3,Mcclain-Mcguire,http://www.faulkner.biz/,Gibraltar,Persevering foreground architecture,1981,Consumer Goods,8132
20012,f8aadf10DF27bDD"Ferrell, Herrera and Sutton",http://cochran.biz/,Mozambique,Triple-buffered 24/7 support,1988,Restaurants,2419
20013,08A9ce25B89a6a2"Dickson, Patterson and Christensen",http://haney-beard.org/,Tonga,Public-key high-level challenge,1982,Shipbuilding,8571
20014,5C0510dA2A67A53,Calderon PLC,http://www.stevenson-reilly.org/,Latvia,Organized disintermediate forecast,2016,Information Technology / IT,626
20015,96a3966C33F7ac6,Garrett-Raymond,https://www.suarez.com/,Japan,Function-based content-based approach,1977,Logistics / Procurement,3018
20016,ED92aec9d5bc660"Hooper, Conrad and Hunt",http://www.stuart-villa.com/,Haiti,Organic transitional product,1987,Automotive,864
20017,cDAcE889Bcce06c,Davies and Sons,https://www.gates-estes.net/,Greece,Grass-roots 5thgeneration installation,1979,Public Safety,8687
20018,d4F56053c5Cb0EC,Bryant Inc,http://www.randall.com/,Turkey,Up-sized cohesive standardization,2000,Health / Fitness,2335
20019,368Cc2FcE102cC9"Simpson, Hunter and Warren",http://hines.com/,Bouvet Island (Bouvetoya),Programmable non-volatile info-mediaries,2015,Food Production,865
20020,56a6c0A2Cd2EaD4"Webster, Fleming and Orozco",http://www.wiley.com/,Sweden,Compatible well-modulated implementation,2006,Library,7296
20021,3dbC0c2ddcAcA7D,Summers PLC,http://www.bird-shannon.com/,Congo,Advanced value-added circuit,1993,Military Industry,6739
20022,AB7D97Bfa78ACad"Haley, Christensen and Day",http://www.drake.com/,South Africa,User-friendly asymmetric utilization,1990,Law Practice / Law Firms,6538
20023,b5E6FCd82B494A5,Pope Ltd,http://castaneda.info/,American Samoa,Synergistic motivating algorithm,1985,Online Publishing,4196
20024,4E7ff54e28973c9,Burnett Ltd,http://marquez-logan.com/,Lithuania,Progressive object-oriented intranet,1980,Investment Banking / Venture,7810
20025,5eBfCa8C2b5A722"Melton, Cortez and Knapp",https://www.paul.net/,Namibia,Robust eco-centric capability,1988,Textiles,6803
20026,73A7BEbE3ffbEc5"Meza, David and Bradford",https://randolph.com/,Anguilla,Organized value-added instruction set,1987,Computer Software / Engineering,3310
20027,635373D1f9ea0EF,Weaver PLC,http://www.rollins.info/,Myanmar,Grass-roots foreground hub,2014,Wholesale,7218
20028,27E196ABBe76f44"Daniels, Braun and Wang",http://livingston.com/,Latvia,Open-architected explicit matrices,1989,Civic / Social Organization,9314
20029,c603fb3BFf5bBbB,Wolfe-Shields,http://hensley.com/,Northern Mariana Islands,Managed didactic moderator,1990,Fundraising,6736
20030,4af21b5cB769319,Lucas Ltd,https://www.pierce.com/,Japan,Cross-group human-resource policy,1976,Accounting,6429
20031,ac0d3013BfE635f"Golden, Donovan and Bowers",https://durham-bass.biz/,Kuwait,Universal global parallelism,1986,Higher Education / Acadamia,6829
20032,8A5775257Aad9a9,Parker Group,https://dawson-shields.com/,Mayotte,Reactive hybrid core,1981,Health / Fitness,8733
20033,92ad6B2291B92F7"Carlson, Buck and Gomez",http://burgess-cole.com/,Tajikistan,Down-sized bifurcated throughput,1978,Semiconductors,2547
20034,9181877B235aE8d"Small, Blake and Larsen",https://blanchard.com/,Faroe Islands,Ameliorated stable process improvement,1979,Investment Management / Hedge Fund / Private Equity,4837
20035,B7CCCFC5aeaaaa5,Cantu-Atkins,https://www.mayer.com/,Serbia,Cloned mission-critical model,1985,Warehousing,9055
20036,aD1EE52aC73ECAe,Krause Group,https://www.barber.com/,Panama,User-centric bandwidth-monitored help-desk,2001,Marketing / Advertising / Sales,4147
20037,F2b38EC6D41EcE1"Haynes, Dyer and Ibarra",https://www.simon.org/,El Salvador,Adaptive methodical capacity,1985,Railroad Manufacture,3693
20038,f0aE694B1D02C7b,Reid Group,https://logan.info/,French Southern Territories,Synergistic zero tolerance function,1994,Maritime,5741
20039,aB8B0B139cc632D,Hutchinson Group,http://www.myers.com/,Zambia,Stand-alone asynchronous installation,1971,Management Consulting,7041
20040,b826C8fea6E8C0C"Phelps, Mcintyre and Lowe",http://www.norton-johns.com/,Armenia,Reverse-engineered upward-trending open architecture,1987,Paper / Forest Products,8877
20041,0AcECfFc15Ccef8,Hardin LLC,http://www.andrews.com/,Congo,Mandatory local attitude,1974,Non - Profit / Volunteering,1592
20042,8A98CfCfCf336B4,Whitaker Inc,https://houston.com/,Italy,Self-enabling fault-tolerant firmware,1984,Animation,9083
20043,ce0F3acCdd7717f,Nelson Inc,https://www.herrera.info/,Cape Verde,Switchable high-level Graphical User Interface,2004,Construction,9426
